Timestamp,Alias,Compression Target,Compression Achieved,Are you submitting this model for Track 2? ,"Track_1
Score","Track_2
Score",Remarks
9/4/2026 17:33:09,Sosuke,40%,None,No,0,0,"1. Week 3 path submitted. To resubmit a previously submitted model that received a 0 (becuase of error in code or naming convention), use a new folder for that week.
2. Never change a previously submitted GitHub or Hugging Face path. Any changes to previously submitted paths after this week will result in a penalty.

"
9/4/2026 19:10:29,Seita,40%,None,Yes,0,0,"1. Please read the document distributed last week. The code has been updated to `decompress.py` and `compress.py`.
"
9/4/2026 20:26:01,Jiraiya,40%,None,No,0,0,"1. The GitHub repository path provided returns a 404 error.
"
9/4/2026 21:19:56,Jiraiya,20%,None,No,0,0,"1. Please read the document distributed last week. The code has been updated to `decompress.py` and `compress.py`.
"
9/4/2026 21:23:23,Naruto,40%,None,No,0,0,"1. Please include effai, evaluation, and all required packages inside the submission folder. I clone only the particular week’s submission folder.
"
9/4/2026 21:47:58,Asbel,10%,None,No,0,0,"1. Your `decompress.py` takes `model_name` and attempts to load the model from Hugging Face. I don’t have internet access on the compute node. This argument is only for identification and should not download or point to any checkpoint.
"
9/4/2026 21:56:15,Giyu,40%,None,Yes,0,0,"1. Week 2 path submitted. To resubmit a previously submitted model that received a 0 (becuase of error in code or naming convention), use a new folder for that week.
2. Never change a previously submitted GitHub or Hugging Face path. Any changes to previously submitted paths after this week will result in a penalty.
"
9/4/2026 22:28:27,Kiba,40%,None,No,0,0,"1. Please read the document distributed last week. The code has been updated to `decompress.py` and `compress.py`.
"
9/4/2026 22:38:47,Howl,10%,None,No,0,0,"1. The HuggingFace checkpoint path provided returns a 404 error.
"
9/4/2026 22:47:55,Howl,20%,19.27%,No,0.4,0,"1. Multiple submissions for 20%
2. Submission evaluated : https://github.com/DeevyanshuMalu/CS6013/tree/main/22B1029/Week04/Compression_20/Submission02"
9/4/2026 22:47:55,Howl,40%,19.27%,No,0.4,0,"1. Multiple submissions for 20%
2. Submission evaluated : https://github.com/DeevyanshuMalu/CS6013/tree/main/22B1029/Week04/Compression_20/Submission02"
9/4/2026 22:49:12,Howl,40%,37.33%,No,10,0,"1. Multiple submissions for 40%
2. Submission evaluated:
https://github.com/DeevyanshuMalu/CS6013/tree/main/22B1029/Week04/Compression_40/Submission01"
9/4/2026 23:05:51,Haku,40%,25.59%,No,6.4,0,"1. Multiple submissions for 40%.
2. Submission evalauted:
https://github.com/DeeptanshuMalu/CS6013/tree/main/22B1256/Week04/Compression_40/Submission02"
9/4/2026 23:07:01,Haku,20%,19.04%,No,0,0,"1. Your model ran successfully, but all predictions were incorrect.
2. Do not submit this model again.
"
9/4/2026 23:07:01,Haku,40%,19.04%,No,0,0,"1. Your model ran successfully, but all predictions were incorrect.
2. Do not submit this model again.
"
9/4/2026 23:16:43,Seiji,40%,33.34%,No,1.6,0,
9/4/2026 23:37:02,Light,40%,None,No,0,0,"1. config = AutoConfig.from_pretrained(model_name, trust_remote_code=True)
I don’t have internet access on the compute node. This argument is only for identification and should not download or point to any checkpoint."
9/4/2026 23:38:09,Light,20%,None,No,0,0,"1. config = AutoConfig.from_pretrained(model_name, trust_remote_code=True)
I don’t have internet access on the compute node. This argument is only for identification and should not download or point to any checkpoint."
9/4/2026 23:50:33,Ashitaka,40%,None,No,0,0,"1. Week 2 path submitted. To resubmit a previously submitted model that received a 0 (becuase of error in code or naming convention), use a new folder for that week.
2. Never change a previously submitted GitHub or Hugging Face path. Any changes to previously submitted paths after this week will result in a penalty.

"
9/4/2026 23:51:25,Ashitaka,20%,None,No,0,0,"1. Week 2 path submitted. To resubmit a previously submitted model that received a 0 (becuase of error in code or naming convention), use a new folder for that week.
2. Never change a previously submitted GitHub or Hugging Face path. Any changes to previously submitted paths after this week will result in a penalty.

"
9/4/2026 23:51:29,L,40%,None,No,0,0,"1. Multiple submissions for 40%
2. Submission evaluated:
https://github.com/BhaveshGyani/CS6013/tree/main/26D0362/Week04/Compression_40/Submission06
3. `AttributeError: 'Qwen3_5TextConfig' object has no attribute 'vision_config'`. Please use the Qwen-3.5-4B multimodal model. This issue was highlighted in the Known Issues section of the document distributed last week."
9/4/2026 23:51:58,Akaza,40%,None,No,0,0,"1. `model = _load_base_model(args.model_name)`, but `_load_base_model` is defined as `load_base_model(checkpoint_path: str)`. Does this mean `model_name` is expected to point to the base model checkpoint?

2. If `model_name` is intended to download Qwen, I don’t have internet access on the compute node. This argument is only for identification and should not download or point to any checkpoint.
"
9/4/2026 23:54:49,Akaza,20%,None,No,0,0,"1. `model = _load_base_model(args.model_name)`, but `_load_base_model` is defined as `load_base_model(checkpoint_path: str)`. Does this mean `model_name` is expected to point to the base model checkpoint?

2. If `model_name` is intended to download Qwen, I don’t have internet access on the compute node. This argument is only for identification and should not download or point to any checkpoint.
"
9/4/2026 23:56:49,Muzan,40%,None,No,0,0,"1. Submit the Week 1 Hugging Face checkpoint path.
2. To resubmit a previous model that received a 0 (becuase of error in code or naming convention), use the appropriate week’s file path. GitHub repo week number must match the Hugging Face checkpoint week number.
3. Follow the specified CLI commands exactly; do not add extra arguments such as `--method`.
4. One model submission = one compression method.
5. Include detailed instructions in the `README`.
"
9/4/2026 23:58:12,Gaara,40%,None,No,0,0,1. `AttributeError: 'Qwen3_5TextConfig' object has no attribute 'vision_config'`. Please use the Qwen-3.5-4B multimodal model. This issue was highlighted in the Known Issues section of the document distributed last week.
