Timestamp,Alias,Compression Target,Are you submitting this model for Track 2?,Track_1 Score,Track_2 Score,Remarks
9/12/2026 22:51:29,Haku,40%,No,2.8440889,,
9/12/2026 22:52:32,Haku,20%,No,0,,
9/12/2026 22:53:43,Haku,10%,No,0,,
9/13/2026 0:33:17,Totoro,40%,No,0,,
9/13/2026 10:55:40,Howl,20%,Yes,0,,
9/13/2026 10:56:32,Howl,10%,Yes,0,,
9/13/2026 12:49:19,Sosuke,20%,Yes,0,,
9/13/2026 16:27:29,Ashitaka,40%,No,6.4,,
9/13/2026 20:05:03,Gaara,40%,No,5.3772889,,
9/13/2026 21:32:51,Yoriichi,20%,Yes,0.0443556,,
9/13/2026 21:33:50,Yoriichi,40%,Yes,2.809,,
9/13/2026 22:14:20,Naruto,40%,No,8.649,,
9/13/2026 23:43:31,Akaza,40%,No,4.356,,
9/14/2026 0:56:30,L,40%,No,4.356,,
9/14/2026 1:11:21,Giyu,20%,No,0.4,,
9/14/2026 4:46:52,Genya,20%,Yes,6.4,,
9/14/2026 4:47:45,Genya,10%,Yes,0,,
9/14/2026 10:57:11,Seiji,40%,Yes,6.4,,
9/14/2026 14:31:43,Light,20%,No,0,,
9/14/2026 17:06:35,Mello,10%,No,#VALUE!,,
9/14/2026 17:19:20,Light,40%,No,5.3772889,,
9/14/2026 18:38:38,Neji,40%,No,#VALUE!,,
9/14/2026 20:11:33,Inosuke,40%,No,3.6,,
9/14/2026 21:58:25,Kiba,40%,No,0.70756,,
9/14/2026 23:00:27,Asbel,40%,Yes,3.6,,
9/14/2026 23:15:30,Light,10%,No,0,,
9/14/2026 23:29:31,Ryuk,40%,No,#VALUE!,,
9/14/2026 23:46:27,Itachi,20%,Yes,6.4,,
